expected,predicted,edgeid,term,closests_zero,closests_one,n_zeros,n_ones,tree
1,0.783988648002977,116,GO:0015020,4,5,10,21,PTHR11926-3
1,0.9066284822943768,124,GO:0015020,9,4,10,21,PTHR11926-3
1,0.9468997968685349,130,GO:0015020,10,2,10,21,PTHR11926-3
1,0.9464228708836807,131,GO:0015020,10,2,10,21,PTHR11926-3
1,0.9478099569720496,132,GO:0015020,10,2,10,21,PTHR11926-3
1,0.9012521991185731,134,GO:0015020,9,4,10,21,PTHR11926-3
1,0.8455760584916922,166,GO:0015020,16,5,10,21,PTHR11926-3
1,0.8267332029314106,175,GO:0015020,17,5,10,21,PTHR11926-3
1,0.8282047216922879,189,GO:0015020,17,5,10,21,PTHR11926-3
1,0.8454800544377309,191,GO:0015020,16,5,10,21,PTHR11926-3
1,0.685535159257523,217,GO:0015020,21,17,10,21,PTHR11926-3
0,0.7451310140643671,250,GO:0015020,8,3,10,21,PTHR11926-3
1,0.5209067548192444,252,GO:0015020,4,3,10,21,PTHR11926-3
1,0.41838361493804843,253,GO:0015020,3,3,10,21,PTHR11926-3
0,0.10376773964688349,255,GO:0015020,2,7,10,21,PTHR11926-3
0,0.11045786941871243,256,GO:0015020,2,7,10,21,PTHR11926-3
0,0.10340066185825228,257,GO:0015020,2,7,10,21,PTHR11926-3
0,0.1115065548396046,258,GO:0015020,2,7,10,21,PTHR11926-3
0,0.5764094912177063,262,GO:0015020,7,4,10,21,PTHR11926-3
1,0.19825080705147546,266,GO:0015020,4,9,10,21,PTHR11926-3
0,0.6144722282212706,269,GO:0015020,8,4,10,21,PTHR11926-3
1,0.21086650666409923,272,GO:0015020,4,9,10,21,PTHR11926-3
0,0.23117211259494183,274,GO:0015020,2,9,10,21,PTHR11926-3
0,0.2437259395065974,275,GO:0015020,2,9,10,21,PTHR11926-3
0,0.30396468754741035,29,GO:0003825,8,14,6,8,PTHR10788-1
0,0.14169063524358724,52,GO:0003825,2,16,6,8,PTHR10788-1
0,0.15509748157684491,54,GO:0003825,2,16,6,8,PTHR10788-1
0,0.3014502115438873,77,GO:0003825,8,14,6,8,PTHR10788-1
0,0.27527913776222585,89,GO:0003825,6,15,6,8,PTHR10788-1
0,0.27093105323800604,97,GO:0003825,6,15,6,8,PTHR10788-1
1,0.8764516391803053,122,GO:0003825,21,2,6,8,PTHR10788-1
1,0.8695323532147136,123,GO:0003825,21,2,6,8,PTHR10788-1
1,0.7783518415580546,157,GO:0003825,19,6,6,8,PTHR10788-1
1,0.7634373116811352,164,GO:0003825,19,6,6,8,PTHR10788-1
1,0.7968781739107726,170,GO:0003825,15,6,6,8,PTHR10788-1
1,0.5294387138303875,199,GO:0003825,16,13,6,8,PTHR10788-1
1,0.4599398453179105,214,GO:0003825,14,6,6,8,PTHR10788-1
1,0.5645045434788879,219,GO:0003825,16,6,6,8,PTHR10788-1
0,0.2692525479401494,29,GO:0004805,8,17,6,6,PTHR10788-2
0,0.12249476696338239,52,GO:0004805,2,19,6,6,PTHR10788-2
0,0.12354476916325864,54,GO:0004805,2,19,6,6,PTHR10788-2
0,0.2626700739351022,77,GO:0004805,8,17,6,6,PTHR10788-2
0,0.23791893259008576,89,GO:0004805,6,18,6,6,PTHR10788-2
0,0.22047966065200963,97,GO:0004805,6,18,6,6,PTHR10788-2
1,0.6519000617198604,110,GO:0004805,18,9,6,6,PTHR10788-2
1,0.6441136923816958,115,GO:0004805,17,9,6,6,PTHR10788-2
1,0.8644757702822805,122,GO:0004805,21,2,6,6,PTHR10788-2
1,0.8745584508009228,123,GO:0004805,21,2,6,6,PTHR10788-2
1,0.7385348185679974,137,GO:0004805,20,7,6,6,PTHR10788-2
1,0.722759964936431,147,GO:0004805,17,7,6,6,PTHR10788-2
0,0.43091429116389574,180,GO:0005938,NA,12,1,1,PTHR10048-1
1,0.3264589972002614,487,GO:0005938,12,NA,1,1,PTHR10048-1
1,0.42977455145752386,311,GO:0006935,19,23,5,2,PTHR10048-2
1,0.4023769758652566,462,GO:0006935,14,23,5,2,PTHR10048-2
0,0.16882081754538086,483,GO:0006935,4,14,5,2,PTHR10048-2
0,0.1590332763613204,485,GO:0006935,4,14,5,2,PTHR10048-2
0,0.16085615897533662,487,GO:0006935,4,14,5,2,PTHR10048-2
0,0.1702755384822282,489,GO:0006935,4,14,5,2,PTHR10048-2
0,0.17117861801652764,491,GO:0006935,4,14,5,2,PTHR10048-2
0,0.6030103279611744,147,GO:0035005,NA,25,1,3,PTHR10048-3
1,0.5479215618900258,312,GO:0035005,30,17,1,3,PTHR10048-3
1,0.5378835891039652,345,GO:0035005,25,17,1,3,PTHR10048-3
1,0.5381755682305782,465,GO:0035005,27,20,1,3,PTHR10048-3
0,0.5381141817122063,147,GO:0046934,25,27,2,2,PTHR10048-4
0,0.5173508301402464,345,GO:0046934,25,20,2,2,PTHR10048-4
1,0.4252132506959333,399,GO:0046934,22,18,2,2,PTHR10048-4
1,0.4375939513132026,465,GO:0046934,20,18,2,2,PTHR10048-4
0,0.4113593112581711,1,GO:0045026,13,12,5,4,PTHR10424-1
0,0.278028864834006,55,GO:0045026,2,5,5,4,PTHR10424-1
0,0.2742425317734275,56,GO:0045026,2,5,5,4,PTHR10424-1
1,0.18906676409324819,58,GO:0045026,5,12,5,4,PTHR10424-1
0,0.4613831163982728,80,GO:0045026,8,9,5,4,PTHR10424-1
1,0.7810395979446347,86,GO:0045026,7,2,5,4,PTHR10424-1
1,0.7670247216707976,87,GO:0045026,7,2,5,4,PTHR10424-1
1,0.6073423426948596,89,GO:0045026,7,4,5,4,PTHR10424-1
0,0.5337746929534969,94,GO:0045026,8,7,5,4,PTHR10424-1
1,0.4926357112067316,1,GO:0001730,7,11,5,9,PTHR11258-1
0,0.5688172720544185,6,GO:0001730,6,9,5,9,PTHR11258-1
0,0.5925088350673821,10,GO:0001730,6,7,5,9,PTHR11258-1
1,0.577139388858459,17,GO:0001730,7,7,5,9,PTHR11258-1
0,0.775081618743897,21,GO:0001730,5,4,5,9,PTHR11258-1
0,0.46217991189560687,25,GO:0001730,2,5,5,9,PTHR11258-1
