UniProtKB,go_id,p0_025,p0_500,p0_975,qualifier_binary,go_evidence_code,qualifier_proposed,opposing
G3QYM7,GO:0001730,0.902450694828721,0.949427103644458,0.975915269980029,1,"IBA,IEA,IEA,IEA",YES,FALSE
G3R5I8,GO:0015280,0.938701455939153,0.969758359124563,0.985097678098052,1,"IBA,IEA,IEA",YES,FALSE
G3R5K2,GO:0004303,0.916952279635604,0.961560945450417,0.982121479868859,,,YES,FALSE
G3RAX8,GO:0000902,0.022602929412141,0.0495731101329551,0.0865293808849394,,,NOT,FALSE
G3RDR3,GO:0003876,0.911457356273468,0.958261156243892,0.980193480596167,1,"IEA,IEA",YES,FALSE
G3REF9,GO:0019005,0.904603987452689,0.958491827094005,0.982172559479231,,,YES,FALSE
G3RFB4,GO:0006198,0.919181419724986,0.961620644038641,0.98257452406426,,,YES,FALSE
G3RHZ3,GO:0004867,0.911415261197338,0.962632374423094,0.981823824364481,1,"IBA,IEA,IEA",YES,FALSE
G3RI13,GO:0043065,0.923243459635492,0.968389564307382,0.984125665632351,,,YES,FALSE
G3RL67,GO:0050431,0.904037155846142,0.959193997450207,0.983783036665082,1,"IBA,IEA,IEA",YES,FALSE
G3RMJ1,GO:0015020,0.929523203892133,0.971026468167961,0.987093993053819,1,IEA,YES,FALSE
G3S0E2,GO:0005229,0.916676762990731,0.965453724573121,0.980711100666888,1,"IBA,IEA",YES,FALSE
G3S166,GO:0001580,0.915236994660849,0.951666700748364,0.973184222231552,,,YES,FALSE
G3S166,GO:0033038,0.901196927195048,0.953848377985048,0.973926407558288,,,YES,FALSE
G3S7C3,GO:0004867,0.908804049188129,0.962264862788313,0.981891563183867,1,"IBA,IEA,IEA",YES,FALSE
G3V645,GO:0001730,0.0223235731303,0.0512939535605099,0.0968253126065041,0,"ISS,ISS,ISO,ISO",NOT,FALSE
G7MLE5,GO:0004619,0.911216345489623,0.957086202836595,0.979225292096188,1,"IEA,IEA,IEA",YES,FALSE
H2LGV5,GO:0004303,0.901818698217459,0.948614990459514,0.973910850756364,1,"IEA,IEA,IEA,IEA",YES,FALSE
H2M3W5,GO:0004867,0.928880473315987,0.967872277804135,0.98499531497982,,,YES,FALSE
H2PY42,GO:0045892,0.90443565206913,0.949201058518402,0.973446926949469,1,IEA,YES,FALSE
H2PYL4,GO:0004017,0.902776573538213,0.947944168374228,0.97297518008986,1,"IEA,IEA,IEA",YES,FALSE
H2Q0S0,GO:0004571,0.920706856559553,0.964404331180279,0.98359762672726,1,IEA,YES,FALSE
H2Q1R4,GO:0006744,0.903759532736392,0.954223806683674,0.97972350409608,,,YES,FALSE
H2Q206,GO:0004396,0.923587873835633,0.96478700235048,0.984304375636706,1,"IEA,IEA,IEA,IEA",YES,FALSE
H2Q364,GO:0003876,0.911286369949495,0.958422308380442,0.981313339636723,1,"IBA,IEA,IEA,IEA",YES,FALSE
H2Q4G3,GO:0004672,0.921020734521752,0.965633675186855,0.984845529704585,1,"IEA,IEA",YES,FALSE
H2Q5W1,GO:0005886,0.912795739342003,0.96336903500831,0.982572317285957,,,YES,FALSE
H2Q6X1,GO:0001730,0.904772350841995,0.951461800830256,0.97725676222107,1,"IBA,IEA,IEA,IEA,IEA",YES,FALSE
H2Q723,GO:0001730,0.0222300093191159,0.052544801592212,0.09924463830678,1,IEA,NOT,FALSE
H2Q7A1,GO:0008543,0.921636125769958,0.962614721686027,0.982376732338001,1,"IBA,IEA,IEA,IEA",YES,FALSE
H2QAR5,GO:0015280,0.936460160720544,0.968805846177732,0.98477859877538,1,"IBA,IEA",YES,FALSE
H2QAR6,GO:0015280,0.936460160720544,0.968805846177732,0.98477859877538,1,"IBA,IEA",YES,FALSE
H2QBJ4,GO:0031848,0.0286964098940764,0.0569447400638988,0.0987610267138728,1,IEA,NOT,FALSE
H2QBU4,GO:0004867,0.90751403756304,0.962042329486679,0.981833815916627,1,IEA,YES,FALSE
H2QJI9,GO:0004867,0.924626915153167,0.969487770119119,0.986623504728729,1,"IBA,IEA,IEA",YES,FALSE
H2QJL2,GO:0005730,0.925211108895142,0.963554025132417,0.983306945846849,1,"IEA,IEA,IEA",YES,FALSE
H2QMN6,GO:0004415,0.0231009116289946,0.0513374762134074,0.0899781149405494,1,"IEA,IEA,IEA,IEA,IEA,IEA",NOT,FALSE
H2QNE9,GO:0004713,0.0244986781595775,0.0546509373749656,0.0911874167446966,,,NOT,FALSE
H2QNP5,GO:0004867,0.916935293637952,0.967432390840388,0.986244700595166,1,"IBA,IEA",YES,FALSE
H2QRT0,GO:0004683,0.921958057161871,0.96513436768455,0.986612266890708,1,"IEA,IEA",YES,FALSE
H2QTC9,GO:0008253,0.925929327152246,0.968593241558563,0.986645695861368,1,"IBA,IEA,IEA,IEA",YES,FALSE
H2QUH9,GO:0004619,0.916468232975682,0.957529542421763,0.980749557299089,,,YES,FALSE
H2QV47,GO:0004867,0.928305549220923,0.970857041301811,0.988273624515639,1,"IBA,IEA",YES,FALSE
H2QZF5,GO:0050431,0.905433026196715,0.960163416671717,0.984044187283776,,,YES,FALSE
H2R0U6,GO:0015020,0.914480833520846,0.951877372146653,0.973372078309895,1,IEA,YES,FALSE
H2R278,GO:0004340,0.91100630306473,0.961010003842247,0.978185266135793,1,"IBA,IEA,IEA",YES,FALSE
H2R546,GO:0006198,0.917996386787182,0.961940692765271,0.982448095512614,,,YES,FALSE
H2R5K3,GO:0004672,0.900382192356035,0.95253842405547,0.97841561912634,1,"IEA,IEA",YES,FALSE
H2R647,GO:0005739,0.0218686794723444,0.0526059429461334,0.0981892564366586,,,NOT,FALSE
H2R8D4,GO:0005615,0.920767396616118,0.963263145757958,0.981987658897862,,,YES,FALSE
H2RAV8,GO:0004867,0.909379475526601,0.962488623213732,0.981944208201785,,,YES,FALSE
H2REG3,GO:0043065,0.923086027489357,0.967885893009135,0.984118282771071,1,IEA,YES,FALSE
H2RIA4,GO:0015020,0.952006767672499,0.977967028062834,0.989625020311774,,,YES,FALSE
