id,go_id,p0_025,p0_500,p0_975,Qualifier,Go_Evidence_Code,annotation
A8X5D4,GO:0005388,0.905072032454131,0.9532405069113,0.978238855465685,,,YES
A8XVY7,GO:0046920,0.937453578241863,0.965593044667358,0.983402947060587,,,YES
A9V937,GO:0007019,0.906304407854153,0.957812565865243,0.983091509166597,,,YES
A9V9S4,GO:0004017,0.902410109471145,0.946061306156535,0.976374566482743,,,YES
B1WBY1,GO:0019005,0.917337230537665,0.961636019109343,0.981510219036046,,,YES
B3RKD8,GO:0007019,0.901161153835341,0.957517007384507,0.982199728878583,,,YES
B6RC85,GO:0001730,0.912571971263294,0.952634115443381,0.977578240034678,,,YES
B7PFH8,GO:0000902,0.90021570755173,0.962766513008765,0.988139340112944,,,YES
B7Q3A0,GO:0004017,0.907635104329066,0.952852717298591,0.981791055035977,,,YES
C3YCI9,GO:0004017,0.930797070244633,0.969947578772808,0.989610786522563,,,YES
C3YZ92,GO:0000902,0.917704324098766,0.970407944747493,0.991129275306919,,,YES
C3Z6M8,GO:0005229,0.902619443264743,0.95027387012234,0.975431865210742,,,YES
D3ZF54,GO:0005229,0.0245896488264407,0.0517862381157755,0.0900354102779879,,,NOT
D4A9J2,GO:0060070,0.90222869258546,0.95216669960567,0.98004050654964,,,YES
D4AB70,GO:0004571,0.929307264365809,0.967859133270641,0.985442428670721,,,YES
D6W9Y3,GO:0016579,0.904689932039212,0.947315284411216,0.970375390672187,,,YES
D6WDJ2,GO:0007019,0.909691293041397,0.955978426205425,0.980660570862274,,,YES
D6WR14,GO:0004017,0.909486292545068,0.951715964640931,0.981062144980508,,,YES
D7SJY9,GO:0051014,0.0243341026450549,0.049696105401875,0.0924743133826345,,,NOT
D7SSG7,GO:0000014,0.900789876083514,0.946727253356759,0.967316487984922,,,YES
D7SSG7,GO:0043765,0.905735818720654,0.946137002853985,0.970040768112756,,,YES
D7TNI8,GO:0005829,0.912817178172581,0.952137017783922,0.976899928855269,,,YES
E3JUL5,GO:0004017,0.921077935325916,0.955130997676834,0.98065376843556,,,YES
E9FWU3,GO:0004017,0.908465832916519,0.951781761390666,0.981586139482545,,,YES
E9G0R0,GO:0000902,0.902373584979886,0.960952634058109,0.986942426980018,,,YES
E9H1S7,GO:0007019,0.908407024730224,0.956269604451296,0.981234365964972,,,YES
F0Z7P1,GO:0004931,0.906861307426746,0.950352500062233,0.973137341043227,,,YES
F1LQR5,GO:0004713,0.0234534054091778,0.0538361405996396,0.0904301846481546,,,NOT
F1LY14,GO:0005229,0.0236277361402078,0.0500459366288564,0.0878482029134188,,,NOT
F1LZ77,GO:0005229,0.0237943078673692,0.0501603454287612,0.0883995599442527,,,NOT
F1M0A0,GO:0005229,0.0236213273512888,0.0500939804944238,0.0881242321405389,,,NOT
F1M455,GO:0045892,0.903572640591196,0.947433480702392,0.974314781368166,,,YES
F1PUI4,GO:0004867,0.900671094723963,0.951633397114984,0.97869210100171,,,YES
F4NV97,GO:0007019,0.925038086665925,0.966282452523251,0.986318943245509,,,YES
F4PD49,GO:0004017,0.926242223101276,0.961070764251256,0.983567814703613,,,YES
F6H2J4,GO:0006744,0.927894550090013,0.958070046759901,0.975214942608165,,,YES
F6HFY6,GO:0080118,0.90935050205056,0.95265869685846,0.974994375889412,,,YES
F6HPC9,GO:0019005,0.930623899044713,0.963266506718792,0.97978233162107,,,YES
F6HPM7,GO:0004805,0.940411621368839,0.96654222661024,0.982683405373781,,,YES
F6PGF0,GO:0015280,0.905205166891675,0.953173460048252,0.978367017744127,,,YES
F6PLG6,GO:0004340,0.92100199499692,0.958740544735138,0.980785660415636,,,YES
F6PPX4,GO:0008253,0.915656506543798,0.958862505022314,0.98112516192677,,,YES
F6PR96,GO:0004017,0.92210802295204,0.96578971068519,0.988324757383227,,,YES
F6Q1B1,GO:0050431,0.917705435816985,0.960682291287892,0.982678131314582,,,YES
F6Q724,GO:0004396,0.92423493212414,0.965831977571526,0.982923667328891,,,YES
F6Q7G2,GO:0015280,0.905205166891675,0.953173460048252,0.978367017744127,,,YES
F6QSC1,GO:0004683,0.906057414315713,0.948669987891568,0.977499563653716,,,YES
F6RA73,GO:0004571,0.919897421459391,0.959514596222607,0.981851805865193,,,YES
F6RSE7,GO:0005229,0.0246759515990837,0.0517458738926883,0.0953152834802723,,,NOT
F6SHV4,GO:0005229,0.0253352529901022,0.0538449453172768,0.0974047169653144,,,NOT
F6TGI7,GO:0001730,0.911502507283402,0.950112628292475,0.974735395402054,,,YES
F6TL18,GO:0006198,0.92298412917018,0.962350973092834,0.982785579789951,,,YES
F6TSC2,GO:0004931,0.906999495473951,0.956063829692741,0.979766330206878,,,YES
F6TUX4,GO:0004683,0.937891986979381,0.96840231791479,0.985338718458359,,,YES
F6U4Y2,GO:0015280,0.93650771666179,0.970881118664142,0.988104398687305,,,YES
F6UKV3,GO:0019005,0.913911924209187,0.959908599385681,0.980994731991366,,,YES
F6V360,GO:0004867,0.93617318779638,0.971496054768212,0.986067018601224,,,YES
